filename,flight,type,score,iou
DJI_20241216220630_0046_T.JPG,Flight05,TP,0.65721965,0.562857985496521
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.62499607,0.36076268553733826
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.61499095,0.45569920539855957
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.56818706,0.26902708411216736
DJI_20241216220630_0046_T.JPG,Flight05,FP,0.50405794,0.4877108931541443
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9995629,0.504503607749939
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.99946624,0.6373738646507263
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.999423,0.9017678499221802
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9990539,0.6943873167037964
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.99895275,0.847758948802948
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9987,0.860148012638092
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9985781,0.7281277775764465
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.99784756,0.9246809482574463
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.99756026,0.6381577849388123
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.99700874,0.7416016459465027
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.9965222,0.0
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.99597126,0.8305016160011292
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.99570304,0.6714444756507874
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9939235,0.8214223980903625
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9934262,0.678518533706665
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.99334055,0.7724549174308777
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.99269897,0.763343334197998
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9919288,0.8369550108909607
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9906533,0.8290989398956299
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.9904676,0.0
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9901314,0.8118533492088318
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9893426,0.8016918897628784
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.98883224,0.6791477799415588
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.9870885,0.002089971676468849
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.98371154,0.788429319858551
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9819995,0.7674526572227478
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.9813812,0.44711387157440186
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9808652,0.7850382328033447
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.97977793,0.0
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.97921914,0.8830724954605103
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.97738075,0.7726476788520813
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.97441214,0.0
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.9736337,0.4191130995750427
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9735024,0.5248565673828125
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9734751,0.5911195874214172
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9730601,0.6498404741287231
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9652601,0.7798186540603638
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.956556,0.6400464177131653
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9559772,0.69661945104599
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9514508,0.8941136002540588
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9397478,0.5633086562156677
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9329226,0.6125856041908264
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.93286973,0.8490860462188721
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.9163363,0.7435269355773926
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.9134732,0.0
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.90701324,0.6479210257530212
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.8932195,0.788371205329895
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.8902884,0.6734061241149902
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.8645827,0.7997932434082031
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.8279974,0.697816014289856
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.81462467,0.0
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.8143125,0.6069170832633972
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.80719703,0.0
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.798517,0.0
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.78285253,0.0
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.7805034,0.8771060705184937
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.77257955,0.7819507718086243
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.74930495,0.8618170619010925
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.7005645,0.6826250553131104
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.6755603,0.3814452588558197
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.6547832,0.7725202441215515
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.65366274,0.0
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.63081795,0.6060715317726135
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.6256209,0.32358691096305847
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.61683846,0.0
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.59153295,0.0
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.59045523,0.0
DJI_20241216220633_0047_T.JPG,Flight05,FP,0.5697273,0.2642236053943634
DJI_20241216220633_0047_T.JPG,Flight05,TP,0.54754025,0.713483989238739
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.99579066,0.9539809823036194
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.99494874,0.6450906991958618
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.99474686,0.8571366667747498
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.9925177,0.9053584337234497
DJI_20241216220636_0048_T.JPG,Flight05,FP,0.9922801,0.27094560861587524
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.9918916,0.7780206799507141
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.990533,0.8129341006278992
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.9905177,0.7426724433898926
DJI_20241216220636_0048_T.JPG,Flight05,FP,0.9877906,0.0
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.9838594,0.5075791478157043
DJI_20241216220636_0048_T.JPG,Flight05,FP,0.9773415,0.0
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.974647,0.8067315220832825
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.9742949,0.817124605178833
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.9712842,0.7807399034500122
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.9682556,0.7168463468551636
DJI_20241216220636_0048_T.JPG,Flight05,FP,0.9682358,0.0
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.96574837,0.6177178621292114
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.96292293,0.7259843349456787
DJI_20241216220636_0048_T.JPG,Flight05,FP,0.96219033,0.0
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.95636725,0.8194468021392822
DJI_20241216220636_0048_T.JPG,Flight05,FP,0.9552093,0.0
DJI_20241216220636_0048_T.JPG,Flight05,FP,0.95268697,0.0
DJI_20241216220636_0048_T.JPG,Flight05,FP,0.9522477,0.3373994529247284
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.94960076,0.8193950057029724
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.94703394,0.5755698680877686
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.93948793,0.5865756273269653
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.938905,0.6402287483215332
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.92780256,0.6318889260292053
DJI_20241216220636_0048_T.JPG,Flight05,FP,0.92598456,0.0
DJI_20241216220636_0048_T.JPG,Flight05,FP,0.9231348,0.3413861393928528
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.9103204,0.7477558851242065
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.90362877,0.5368791818618774
DJI_20241216220636_0048_T.JPG,Flight05,FP,0.89878994,0.0
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.8970644,0.5368989109992981
DJI_20241216220636_0048_T.JPG,Flight05,TP,0.8929134,0.7748477458953857
DJI_20241216220636_0048_T.JPG,Flight05,FP,0.8641482,0.0
